site_code,trt,year_trt,avg_richness,avg_richness2,avg_invsimpsons2,avg_shannons,avg_evenness_Sh,beta_invsimpsons,gamma_richness,log_spp_stab_cover,log_spp_asynch_cover,log_spatial_asynch_prod,log_alpha_stab_prod,log_gamma_stab_prod,temp_mean,temp_sd,TEMP_VAR_v2,MAP_VAR_v2,res_log_spatial_asynch_prod,res_log_alpha_stab_prod,res_log_gamma_stab_prod,resGamma_prod
sevi.us,Control,4,6.583333333,2.718818247,1.645131248,4.040678721,0.661029117,1.076056544,12,0.069525745,0.701235284,0.00942463,-0.025639774,-0.016215144,85.995,39.78651856,846.8259766,66.06919852,-0.217358566,-0.770937342,-1.020056575,-0.870828521
sgs.us,Fertilized,4,8.083333333,3.014950341,1.816825453,4.53274249,0.704023147,1.050819746,12.75,0.166766945,0.954552148,0.047253528,-0.028832434,0.018421094,290.75,94.74079586,879.6653724,58.78775076,-0.059099163,-0.648905322,-0.800012444,-0.879952472
sgs.us,Control,4,7.166666667,2.841302254,1.347937197,3.326154657,0.608779329,1.224907523,12.75,0.504121791,0.787276147,0.021260312,0.632225047,0.65348536,282.75,77.72408446,879.6653724,58.78775076,-0.210303387,-0.118602395,-0.368556977,-0.231888642
shps.us,Fertilized,4,12.91666667,3.691161905,2.057717894,6.089466365,0.704227201,1.160366891,21,0.338425266,0.51071929,0.326735467,0.619194151,0.945929619,194.375,83.14987706,970.1533487,41.10188875,0.185086933,-0.063386804,0.060482274,-0.070081293
shps.us,Control,4,15.75,3.977279923,2.490135443,8.502928098,0.766809089,1.091909957,28,0.735156751,0.647456708,0.374146569,0.608207484,0.982354053,130.75,32.8080412,970.1533487,41.10188875,0.090763728,-0.164430702,-0.098717803,-0.072133209
sier.us,Fertilized,4,8.75,3.129283017,1.885292342,4.778001599,0.707565253,1.33738388,16.75,0.276983596,1.255735099,0.283377193,0.546337264,0.829714457,402.25,86.86499141,665.1720015,86.5282909,0.022254834,0.003900164,0.103693663,-0.087914904
sier.us,Control,4,8.166666667,3.029747343,1.857457699,4.46838731,0.68780888,1.724891259,17.5,0.091235669,0.895077675,0.233146231,0.63409381,0.867240042,382.75,142.7462659,665.1720015,86.5282909,-0.014423596,-0.094980758,-0.07976545,-0.036639791
smith.us,Control,4,19.08333333,4.254241287,2.752962934,10.02772028,0.773833096,1.436124244,26.75,0.324571654,0.965163958,0.111739779,1.163500041,1.27523982,204.5875,56.33185289,474.7503427,38.69810191,-0.105086981,0.435455097,0.292901409,0.173825618
smith.us,Fertilized,4,17.66666667,4.142957954,2.627563613,8.99101812,0.755092947,1.303438331,25.75,0.116111779,0.946479234,0.06822627,0.997143835,1.065370104,266.625,92.13474852,474.7503427,38.69810191,-0.047831485,0.293444603,0.161389708,-0.020066526
spin.us,Fertilized,4,6.5,2.700439718,1.692166443,3.994914901,0.741051165,1.253404397,9.5,0.074852363,2.699084258,0.922799841,0.746622703,1.669422544,328,20.47238668,882.4458054,16.64644486,0.591483799,0.015015086,0.713413699,0.832474179
spin.us,Control,4,10.16666667,3.345774837,2.047485746,5.512830709,0.71673418,1.161820719,13.75,0.061164637,2.668376914,0.42184551,1.117790808,1.539636318,324.75,21.18967648,882.4458054,16.64644486,0.071190331,0.379119599,0.496992045,0.585990687
temple.us,Control,4,10.58333333,3.403722186,2.37012653,6.533388258,0.787431338,1.347033462,18,0.247214932,0.73406878,0.108780236,0.453536064,0.5623163,569,213.2780518,751.5573512,29.10733362,-0.148559307,-0.26438219,-0.426159522,-0.388632337
temple.us,Fertilized,4,9.166666667,3.196397213,1.996865434,5.152568055,0.750833164,1.361385451,16,0.33453931,0.730994166,0.06942193,0.296771828,0.366193758,568,195.7009919,751.5573512,29.10733362,-0.120144625,-0.393335988,-0.544377823,-0.555292618
trel.us,Fertilized,4,3.833333333,1.938599455,1.115607369,2.56156968,0.70037588,1.024692779,5.25,1.15476627,1.109384963,0.085308202,1.1357775,1.221085701,405.75,42.16480942,1026.588482,25.24320349,-0.174268437,0.39727602,0.275543217,0.509359186
trel.us,Control,4,4.75,2.247927513,1.50351848,3.304298044,0.785200267,1.059228583,7,0.91458749,0.899626483,0.050800781,0.899759248,0.950560029,410,66.81604098,1026.588482,25.24320349,-0.312009315,0.110647581,-0.176936402,0.200339265
ukul.za,Fertilized,4,13.08333333,3.709658248,2.16058389,6.342650349,0.714719724,1.835806059,26,-0.061686425,1.571426647,0.019080816,0.224275543,0.243356359,487.25,107.6663525,347.2977397,65.26595269,-0.085340903,-0.453330428,-0.601300922,-0.773976392
ukul.za,Control,4,15.83333333,3.984893108,2.116949526,6.753462221,0.680443023,1.74655042,30.25,0.49314628,1.585767595,0.182981148,1.176255582,1.35923673,541,67.66069289,347.2977397,65.26595269,-0.036163979,0.409788104,0.343841923,0.287810937
